State,Season,SoilType,N,P,K,Temperature,Humidity,pH,Rainfall,Crop
Delhi,Kharif,Clay,22,26,21,29.2,89,5.6,261,Sesame
Sikkim,Kharif,Loamy,20,11,84,26.3,91,7.4,171,Tomato
Assam,Zaid,Clay,92,15,76,19.7,86,6.1,281,Bajra
Uttarakhand,Rabi,Sandy,85,19,44,20.3,74,5.6,168,Tur
Chhattisgarh,Zaid,Black,58,62,49,27.2,40,6.9,27,Carrot
Rajasthan,Kharif,Alluvial,107,20,46,36.5,86,6.1,118,Spinach
Madhya Pradesh,Zaid,Alluvial,101,55,53,25.2,57,5.6,148,Mustard
Punjab,Zaid,Clay,109,67,26,34.4,38,5.9,154,Tomato
Punjab,Kharif,Clay,63,64,47,20.4,53,7.6,233,Mustard
Meghalaya,Zaid,Red,101,80,64,19.3,95,6.3,140,Onion
Rajasthan,Kharif,Clay,68,15,61,35.7,54,7.4,165,Tomato
Arunachal Pradesh,Rabi,Black,62,46,32,32.4,86,7,299,Sesame
Telangana,Rabi,Clay,74,24,32,22.4,34,6.8,234,Barley
Meghalaya,Kharif,Alluvial,37,33,65,26,77,6.5,105,Barley
Himachal Pradesh,Kharif,Loamy,117,62,67,26.7,45,6.7,118,Barley
Goa,Zaid,Sandy,73,58,79,35.1,36,7.5,60,Potato
Kerala,Zaid,Red,89,50,37,26.2,84,6.4,31,Barley
Tripura,Zaid,Clay,47,13,29,24.7,85,6.5,291,Rice
Manipur,Kharif,Red,44,36,11,20.2,38,5.9,23,Peas
Sikkim,Kharif,Black,117,19,53,27.8,41,7.9,58,Maize
Chhattisgarh,Rabi,Clay,82,17,56,20.7,91,6.3,49,Peas
West Bengal,Rabi,Sandy,35,26,87,18,75,7.1,118,Peas
Chhattisgarh,Zaid,Clay,52,78,58,35.5,53,7.4,98,Coriander
Kerala,Kharif,Clay,44,64,18,19.6,69,7.2,212,Watermelon
Telangana,Kharif,Clay,69,79,34,19,70,6,279,Cucumber
Jharkhand,Zaid,Black,98,22,76,30.4,80,6.5,182,Cabbage
Telangana,Rabi,Loamy,79,76,89,26.7,76,5.7,145,Ragi
Meghalaya,Rabi,Black,72,14,70,28.8,95,7.7,298,Gram
Jammu and Kashmir,Kharif,Alluvial,77,76,13,19.6,44,8,260,Soybean
Tamil Nadu,Kharif,Red,65,55,63,25.1,66,7.1,51,Coriander
Sikkim,Rabi,Loamy,118,64,11,19,78,7.2,151,Bajra
Jammu and Kashmir,Rabi,Alluvial,27,74,41,31.5,38,7.2,70,Soybean
Meghalaya,Rabi,Loamy,74,12,62,28.5,80,7.3,101,Tomato
Odisha,Zaid,Clay,56,17,11,28.1,62,5.6,97,Potato
Goa,Zaid,Loamy,91,73,47,35,87,8,207,Chilli
Uttar Pradesh,Zaid,Red,68,80,17,30.1,64,6.4,211,Bajra
Gujarat,Kharif,Clay,81,16,50,21.9,31,6.8,78,Soybean
Uttar Pradesh,Rabi,Loamy,66,34,36,20.4,78,7.1,164,Tomato
Madhya Pradesh,Zaid,Black,30,75,67,19.1,94,7.1,42,Watermelon
Punjab,Rabi,Clay,91,41,74,18.3,62,7.7,202,Barley
Uttar Pradesh,Rabi,Sandy,20,19,39,28,42,7.7,77,Ragi
Andhra Pradesh,Rabi,Black,85,65,42,22.4,45,7.9,84,Peas
Telangana,Kharif,Sandy,81,43,13,19.6,69,5.6,97,Chilli
Telangana,Rabi,Black,57,10,30,23,95,7.8,163,Muskmelon
Meghalaya,Rabi,Loamy,47,40,64,35.3,64,7.6,24,Barley
Meghalaya,Kharif,Black,73,22,61,20.1,76,5.9,27,Sesame
Goa,Zaid,Sandy,70,76,33,24.4,33,7.2,171,Onion
Maharashtra,Zaid,Loamy,53,71,30,37.1,70,6.3,68,Peas
